regime,condition,method,seed,iteration_budget,r_topo_median,r_source_median,amari_index,source_file,source_sha256
Homogeneous Laplacian,clean,FastICA,101,5000,0.99578648030502215,0.99440684684368041,0.015117760712170393,figdata/synth/amica_python_synthetic_v1/synth_clean_seed-0101_fastica.json,f562c4b78cac46edad78e18306c2d4bedb5ccfc780f8fd46c707ba3a3509387a
Homogeneous Laplacian,clean,Infomax,101,5000,0.99613447975382929,0.99425360718853661,0.015190666192735472,figdata/synth/amica_python_synthetic_v1/synth_clean_seed-0101_infomax.json,216895ad18d80c17f58eabda485dbfea07b15f9de5720308569a21aa6441f60a
Homogeneous Laplacian,clean,amica 3k,101,3000,0.97816763426157194,0.98271051331799741,0.047574429703541241,figdata/synth/amica_python_synthetic_v1/synth_clean_seed-0101_jax_gpu.json,ee7f60ce6e6d8f31dc9e02859b73d856636f7a8cf146edfb77c5c5719dd9f61d
Homogeneous Laplacian,clean,Picard,101,5000,0.97049932766716351,0.97858581896123287,0.039880663940955838,figdata/synth/amica_python_synthetic_v1/synth_clean_seed-0101_picard.json,4949c993843064d3a5b904db9743d560ab80dc79bae59cc5d834128598995856
Homogeneous Laplacian,clean,FastICA,202,5000,0.99622975637062239,0.99512681235630773,0.014462281370682499,figdata/synth/amica_python_synthetic_v1/synth_clean_seed-0202_fastica.json,0aef0ba430eb017af5c829f3c4354838922495a19a15d3ace3a9d4f9245d6d14
Homogeneous Laplacian,clean,Infomax,202,5000,0.99613735415140692,0.99494011924774228,0.014714830402728227,figdata/synth/amica_python_synthetic_v1/synth_clean_seed-0202_infomax.json,a44a3e8405d2b065a271bb86f62621a73227d45820e6d718ceb67972dd29d404
Homogeneous Laplacian,clean,amica 3k,202,3000,0.96865375847866186,0.97853305476509245,0.044367803542618517,figdata/synth/amica_python_synthetic_v1/synth_clean_seed-0202_jax_gpu.json,051ed5dffbc8aa037af1df45d2d296f62dd3a6fb4734a179cdbeac7b2d418d31
Homogeneous Laplacian,clean,Picard,202,5000,0.99613008099660982,0.99492637675262907,0.014708365552215786,figdata/synth/amica_python_synthetic_v1/synth_clean_seed-0202_picard.json,135d34a8900f5fde67b4fe72d31dd94fd5c3526cdc08bed547b6763f51a1a1d4
Homogeneous Laplacian,clean,FastICA,303,5000,0.99609991259282582,0.99533572703797901,0.014244297743912518,figdata/synth/amica_python_synthetic_v1/synth_clean_seed-0303_fastica.json,dcfdaeba2f2302092b4e9327bcd35f36d251e5c4283b9dffaa1da20a1169c1cb
Homogeneous Laplacian,clean,Infomax,303,5000,0.99594832015215906,0.99549390741658494,0.014088547614730086,figdata/synth/amica_python_synthetic_v1/synth_clean_seed-0303_infomax.json,febf33441235a54a1460cc22233bee8631b7618676826bf9c98b8d64a6cd1a2f
Homogeneous Laplacian,clean,amica 3k,303,3000,0.9939615324533686,0.99291836439259196,0.019776157579328969,figdata/synth/amica_python_synthetic_v1/synth_clean_seed-0303_jax_gpu.json,aca8c7fdd13a4b62ec92798eb786550d215810cc8968b9205f4fa127cd628ad3
